type,speciesID,scientificName,commonName,shortCode,speciesCode,active
tally-species,10459,Lycodes pacificus,Blackbelly Eelpout,BBEE,256,
tally-species,10460,Lycodapus mandibularis,Pallid Eelpout,PAEE,260,
tally-species,10461,Egg case unid,Egg case Unid,EGGU,91,
tally-species,10462,Pleuronectiformes,Flatfish Unid,FLAU,100,
tally-species,10463,Neoclinus uninotatus,Onespot Fringehead,ONFR,435,
tally-species,10464,Hexagrammidae,Greenling Unid,GREE,390,
tally-species,10465,Cepphus columba,Pigeon Guillemot,PIGU,947,
tally-species,10466,Larus occidentalis,Western Gull,WEGU,982,
tally-species,10467,Larus argentatus,Herring Gull,HERG,977,
tally-species,10468,Isopoda,Isopod Unid,ISOU,33,
tally-species,10469,Gibbonsia metzi,Striped Kelpfish,STKE,741,
tally-species,10470,Petromyzontidae,Lamprey Unid,LAMU,75,
tally-species,10471,Hirudinea,Leech Unid,LEEU,52,
tally-species,10472,Ophiodon elongatus,Lingcod,LCOD,603,
tally-species,10473,Gavia pacifica,Pacific Loon,PALO,940,
tally-species,10474,Scombridae,Mackerel Unid,MACU,196,
tally-species,10475,Porichthys myriaster,Specklefin Midshipman,SPMI,665,
tally-species,10476,Mugil cephalus,Striped Mullet,STMU,156,
tally-species,10477,Nudibranchia,Nudibranch Unid,NUDU,25,
tally-species,10478,Girella nigricans,Opaleye,OPAL,157,
tally-species,10479,Pelecanus occidentalis,Brown Pelican,BRPE,910,
tally-species,10480,Podothecus acipenserinus,Sturgeon Poacher,STOP,452,
tally-species,10481,Gadus chalcogrammus,Walleye Pollock,PLCK,201,
tally-species,10482,Cebidichthys violaceus,Monkeyface Prickleback,MEEL,272,
tally-species,10483,Seriphus politus,Queenfish,QFSH,159,
tally-species,10484,Sebastes auriculatus,Brown Rockfish,BRWN,332,
tally-species,10485,Sebastes goodei,Chilipepper Rockfish,CLPR,325,
tally-species,10486,Sebastes crameri,Darkblotched Rockfish,DBRK,311,
tally-species,10487,Sebastes carnatus,Gopher Rockfish,GPHR,364,
tally-species,10488,Sebastes simulator,Pinkrose Rockfish,PRRK,373,
tally-species,10489,Sebastes babcocki,Redbanded Rockfish,RDBD,308,
tally-species,10490,Sebastes aleutianus,Rougheye/Blackspotted Rockfish,REYE,307,
